"","f_boxer","s_boxer","f_boxer_result","f_boxer_stance","f_boxer_age","f_boxer_height","f_boxer_reach","f_boxer_won","f_boxer_lost","f_boxer_drawn","f_boxer_KOs","f_boxer_ranking","s_boxer_ranking","s_boxer_age","s_boxer_stance","s_boxer_reach","s_boxer_height","s_boxer_won","s_boxer_lost","s_boxer_drawn","s_boxer_KOs","rounds","s_boxer_result","matchRounds","fightEnd"
"66","Wladimir Klitschko","Monte Barrett","won","orthodox",24,"198","206",33,1,0,30,NA,NA,29,"orthodox","198","191cm",23,1,0,14,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 7","lost","7","KO/TKO"
"67","Wladimir Klitschko","Carlos Monroe","won","orthodox",22,"198","206",20,0,0,17,NA,NA,33,"orthodox","204","198cm",11,6,0,7,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6","lost","6","KO/TKO"
"68","Wladimir Klitschko","Sultan Ibragimov","won","orthodox",31,"198","206",49,3,0,43,NA,NA,32,"southpaw","193","188cm",22,0,1,17,"Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"69","Wladimir Klitschko","Jean Marc Mormeck","won","orthodox",35,"198","206",56,3,0,48,NA,NA,39,"orthodox","188","181cm",36,4,0,22,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 4","lost","4","KO/TKO"
"70","Wladimir Klitschko","Biko Botowamungu","won","orthodox",21,"198","206",10,0,0,9,NA,NA,40,"orthodox","193","190cm",9,5,1,9,"Wladimir Klitschko
    
      
      
    
                    
won DQ
        
round 4","lost","4","DQ"
"71","Wladimir Klitschko","Carlos Monroe","won","orthodox",20,"198","206",4,0,0,4,NA,NA,32,"orthodox","204","198cm",8,2,0,5,"Wladimir Klitschko
    
      
      
    
                    
won DQ
        
round 6","lost","6","DQ"
"72","Wladimir Klitschko","Tyson Fury","lost","orthodox",39,"198","206",64,3,0,53,NA,1,27,"orthodox","216","206cm",24,0,0,18,"Wladimir Klitschko","won","","Unknown"
"73","Wladimir Klitschko","Jerry Halstead","won","6′ 6″   /   198cm",NA,"206","",13,0,0,NA,NA,NA,NA,"6′ 1″   /   185cm","","188cm",85,18,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"74","Wladimir Klitschko","Kubrat Pulev","won","orthodox",38,"198","206",62,3,0,52,NA,11,33,"orthodox","202","194cm",20,0,0,11,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 5","lost","5","KO/TKO"
"75","Wladimir Klitschko","Ray Mercer","won","orthodox",26,"198","206",38,1,0,34,NA,NA,41,"orthodox","196","185cm",30,4,1,22,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6","lost","6","KO/TKO"
"76","Wladimir Klitschko","Samuel Peter","won","orthodox",29,"198","206",44,3,0,39,NA,184,25,"orthodox","196","188cm",24,0,0,21,"Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"77","Wladimir Klitschko","Najee Shaheed","won","orthodox",22,"198","206",19,0,0,16,NA,NA,30,"southpaw","188","184cm",16,0,1,8,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"78","Wladimir Klitschko","Tony Thompson","won","orthodox",32,"198","206",50,3,0,43,NA,NA,36,"southpaw","207","196cm",31,1,0,19,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 11","lost","1","KO/TKO"
"79","Chris Byrd","Wladimir Klitschko","lost","southpaw",35,"188","188",39,2,1,20,NA,NA,30,"orthodox","206","198cm",45,3,0,39,"Chris Byrd","won","","Unknown"
"80","Wladimir Klitschko","Axel Schulz","won","orthodox",23,"198","206",28,1,0,25,NA,NA,30,"orthodox","193","191cm",26,3,1,11,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8","lost","8","KO/TKO"
"81","Wladimir Klitschko","Marcus McIntyre","won","orthodox",21,"198","206",16,0,0,14,NA,NA,28,"orthodox","196","193cm",15,1,0,8,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 3","lost","3","KO/TKO"
"82","Wladimir Klitschko","Gilberto Williamson","won","6′ 6″   /   198cm",NA,"206","",9,0,0,NA,NA,NA,NA,"6′ 3″   /   190cm","","188cm",4,2,3,NA,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3","lost","3","KO/TKO"
"83","Wladimir Klitschko","Calvin Brock","won","orthodox",30,"198","206",46,3,0,40,NA,NA,31,"orthodox","196","188cm",29,0,0,22,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 7","lost","7","KO/TKO"
"84","Wladimir Klitschko","Eli Dixon","won","orthodox",22,"198","206",22,0,0,19,NA,NA,32,"orthodox","201","188cm",21,4,1,14,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3","lost","3","KO/TKO"
"85","Wladimir Klitschko","Exum Speight","won","6′ 6″   /   198cm",NA,"206","",1,0,0,NA,NA,NA,NA,"6′ 0″   /   183cm","","180cm",8,30,2,NA,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"86","Wladimir Klitschko","Salvador Maciel","won","6′ 6″   /   198cm",NA,"206","",8,0,0,NA,NA,NA,NA,"6′ 2″   /   188cm","","183cm",21,11,0,NA,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"87","Wladimir Klitschko","Ross Puritty","lost","orthodox",22,"198","206",24,0,0,21,NA,NA,31,"orthodox","203","191cm",24,13,1,21,"Wladimir Klitschko","won","","Unknown"
"88","Wladimir Klitschko","Mark Young","won","6′ 6″   /   198cm",NA,"206","",5,0,0,NA,NA,NA,NA,"6′ 1″   /   185cm","","183cm",15,33,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 2","lost","2","RTD"
"89","Wladimir Klitschko","Derrick Jefferson","won","orthodox",24,"198","206",35,1,0,31,NA,NA,33,"orthodox","208","198cm",23,2,1,19,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"90","Wladimir Klitschko","Eliseo Castillo","won","orthodox",29,"198","206",43,3,0,38,NA,NA,29,"orthodox","","188cm",18,0,1,14,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 4","lost","4","KO/TKO"
"91","Wladimir Klitschko","Eddie Chambers","won","orthodox",33,"198","206",53,3,0,46,NA,NA,27,"orthodox","191","185cm",35,1,0,18,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 12","lost","2","KO/TKO"
"92","Wladimir Klitschko","Derrick Lampkins","won","6′ 6″   /   198cm",NA,"206","",15,0,0,NA,NA,NA,NA,"6′ 5″   /   196cm","","198cm",9,3,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 1","lost","1","KO/TKO"
"93","Wladimir Klitschko","Frans Botha","won","orthodox",25,"198","206",37,1,0,33,NA,NA,33,"orthodox","188","188cm",44,3,1,28,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8","lost","8","KO/TKO"
"94","Wladimir Klitschko","Donnell Wingfield","won","6′ 6″   /   198cm",NA,"206","",23,0,0,NA,NA,NA,NA,"6′ 1″   /   185cm","","185cm",29,9,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"95","Wladimir Klitschko","Phil Jackson","won","orthodox",23,"198","206",29,1,0,26,NA,NA,35,"orthodox","201","185cm",43,8,0,39,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"96","Wladimir Klitschko","Ladislav Husarik","won","6′ 6″   /   198cm",NA,"206","",14,0,0,NA,NA,NA,NA,"","","",4,13,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3","lost","3","KO/TKO"
"97","Wladimir Klitschko","Alex Leapai","won","orthodox",38,"198","206",61,3,0,51,NA,132,34,"orthodox","190","183cm",30,4,3,24,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 5","lost","5","KO/TKO"
"98","Wladimir Klitschko","Mariusz Wach","won","orthodox",36,"198","206",58,3,0,50,NA,39,32,"orthodox","208","202cm",27,0,0,15,"Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"99","Paea Wolfgramm","Wladimir Klitschko","lost","orthodox",30,"194","202",18,1,0,13,NA,NA,23,"orthodox","206","198cm",31,1,0,28,"Paea Wolfgramm","won","","Unknown"
"100","Wladimir Klitschko","Everett Martin","won","orthodox",23,"198","206",25,1,0,22,NA,NA,34,"orthodox","183","182cm",20,29,1,9,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 8","lost","8","KO/TKO"
"101","Wladimir Klitschko","Tony Thompson","won","orthodox",36,"198","206",57,3,0,49,NA,NA,40,"southpaw","207","196cm",36,2,0,24,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6","lost","6","KO/TKO"
"102","Wladimir Klitschko","Steve Pannell","won","orthodox",22,"198","206",21,0,0,18,NA,NA,31,"orthodox","193","193cm",33,4,0,27,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"103","Wladimir Klitschko","Fabian Meza","won","orthodox",20,"198","206",0,0,0,0,NA,NA,27,"orthodox","188","187cm",4,1,1,1,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"104","Lamon Brewster","Wladimir Klitschko","won","orthodox",30,"188","196",29,2,0,26,NA,NA,28,"orthodox","206","198cm",42,2,0,38,"Lamon Brewster
    
      
      
    
                    
won TKO
        
round 5","lost","5","KO/TKO"
"105","Wladimir Klitschko","Marcos Gonzalez","won","6′ 6″   /   198cm",NA,"206","",12,0,0,NA,NA,NA,NA,"6′ 1″   /   185cm","","188cm",18,11,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"106","Wladimir Klitschko","Troy Weida","won","orthodox",20,"198","206",3,0,0,3,NA,NA,24,"orthodox","191","191cm",6,1,1,6,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 3","lost","3","KO/TKO"
"107","Wladimir Klitschko","Lajos Eros","won","orthodox",23,"198","206",30,1,0,27,NA,NA,35,"orthodox","188","187cm",21,8,1,11,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"108","Corrie Sanders","Wladimir Klitschko","won","southpaw",37,"193","196",38,2,0,28,NA,NA,26,"orthodox","206","198cm",40,1,0,36,"Corrie Sanders
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"109","Wladimir Klitschko","Bill Corrigan","won","orthodox",20,"198","206",2,0,0,2,NA,NA,33,"orthodox","193","193cm",10,12,1,7,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 1","lost","1","KO/TKO"
"110","Wladimir Klitschko","Fabio Eduardo Moli","won","orthodox",27,"198","206",40,2,0,36,NA,NA,34,"orthodox","","194cm",29,2,0,17,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"111","Wladimir Klitschko","DaVarryl Williamson","won","orthodox",28,"198","206",42,3,0,38,NA,NA,36,"orthodox","203","193cm",20,2,0,17,"Wladimir Klitschko
    
      
      
    
                    
won TD
        
round 5","lost","5","Unknown"
"112","Wladimir Klitschko","Danell Nicholson","won","orthodox",27,"198","206",41,2,0,37,NA,NA,36,"orthodox","203","193cm",42,4,0,32,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 4","lost","4","KO/TKO"
"113","Wladimir Klitschko","Tony LaRosa","won","orthodox",23,"198","206",26,1,0,23,NA,NA,31,"orthodox","183","178cm",31,15,0,18,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 1","lost","1","KO/TKO"
"114","Wladimir Klitschko","Cody Koch","won","orthodox",22,"198","206",18,0,0,15,NA,NA,25,"southpaw","188","188cm",25,1,0,21,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 4","lost","4","KO/TKO"
"115","Wladimir Klitschko","Ray Austin","won","orthodox",30,"198","206",47,3,0,41,NA,275,36,"orthodox","203","198cm",24,3,4,16,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"116","Wladimir Klitschko","Lamon Brewster","won","orthodox",31,"198","206",48,3,0,42,NA,NA,34,"orthodox","196","188cm",33,3,0,29,"Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 6","lost","6","RTD"
"117","Wladimir Klitschko","David Bostice","won","orthodox",24,"198","206",32,1,0,29,NA,NA,28,"orthodox","193","196cm",22,1,1,12,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 2","lost","2","KO/TKO"
"118","Wladimir Klitschko","Samuel Peter","won","orthodox",34,"198","206",54,3,0,47,NA,184,30,"orthodox","196","188cm",34,3,0,27,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 10","lost","0","KO/TKO"
"119","Wladimir Klitschko","Chris Byrd","won","orthodox",24,"198","206",34,1,0,31,NA,NA,30,"southpaw","188","188cm",31,1,0,19,"Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 12","lost","2","UD"
"120","Wladimir Klitschko","Charles Shufford","won","orthodox",25,"198","206",36,1,0,32,NA,NA,28,"orthodox","203","191cm",17,1,0,9,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 6","lost","6","KO/TKO"
"121","Wladimir Klitschko","Mark Wills","won","orthodox",21,"198","206",6,0,0,5,NA,NA,36,"orthodox","188","185cm",14,17,1,9,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"122","Wladimir Klitschko","Hasim Rahman","won","orthodox",32,"198","206",51,3,0,44,NA,NA,36,"orthodox","208","189cm",45,6,2,36,"Wladimir Klitschko
    
      
      
    
                    
won TKO
        
round 7","lost","7","KO/TKO"
"123","Wladimir Klitschko","Zoran Vujicic","won","orthodox",22,"198","206",24,1,0,21,NA,NA,37,"orthodox","198","193cm",14,0,0,6,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 1","lost","1","KO/TKO"
"124","Wladimir Klitschko","Paul Ashley","won","6′ 6″   /   198cm",NA,"206","",7,0,0,NA,NA,NA,NA,"6′ 0″   /   183cm","","183cm",4,2,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won KO
        
round 2","lost","2","KO/TKO"
"125","Wladimir Klitschko","Everett Martin","won","6′ 6″   /   198cm",NA,"206","",17,0,0,NA,NA,NA,NA,"5′ 11½″   /   182cm","","183cm",20,21,1,NA,"Wladimir Klitschko
    
      
      
    
                    
won UD
        
round 8","lost","8","UD"
"126","Wladimir Klitschko","Joseph Chingangu","won","orthodox",23,"198","206",27,1,0,24,NA,NA,32,"southpaw","198","192cm",18,4,0,13,"Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 4","lost","4","RTD"
"127","Wladimir Klitschko","Ruslan Chagaev","won","orthodox",33,"198","206",52,3,0,45,NA,NA,30,"southpaw","188","185cm",25,0,1,17,"Wladimir Klitschko
    
      
      
    
                    
won RTD
        
round 9","lost","9","RTD"
